fpar,par,tmin,vpd,smrz,ft,tsoil,smsf
0.226,7.947,277.388,462.271,0.859,0.000,282.499,0.569
0.226,8.929,276.511,453.104,0.863,0.000,282.090,0.576
0.226,8.131,276.595,446.327,0.863,0.000,282.094,0.564
0.226,9.460,277.363,524.453,0.863,0.000,283.318,0.571
0.229,9.318,279.094,604.484,0.863,0.000,284.463,0.556
0.242,8.615,279.847,561.126,0.867,0.000,285.172,0.564
0.242,9.242,280.332,539.957,0.868,0.000,285.003,0.562
0.242,9.562,277.791,457.577,0.867,0.000,284.128,0.564
0.242,7.606,280.683,454.664,0.868,0.000,285.105,0.580
0.242,8.889,279.255,461.199,0.871,0.000,284.801,0.592
0.242,9.084,278.431,449.413,0.871,0.000,284.054,0.587
0.242,9.043,279.269,477.231,0.871,0.000,284.468,0.583
0.253,9.530,278.247,532.734,0.870,0.000,284.669,0.578
0.277,10.395,278.471,597.907,0.870,0.000,284.900,0.567
0.277,8.899,280.681,535.137,0.871,0.000,285.673,0.576
0.277,8.737,279.042,479.035,0.875,0.000,284.877,0.595
0.277,9.782,278.167,517.467,0.872,0.000,284.147,0.578
0.277,9.614,278.515,478.929,0.875,0.000,284.561,0.588
0.277,10.399,279.331,545.269,0.877,0.000,284.965,0.589
0.277,8.503,281.140,558.775,0.878,0.000,285.171,0.580
0.283,8.082,280.843,489.718,0.880,0.000,285.395,0.592
0.299,9.402,279.619,505.187,0.880,0.000,284.944,0.585
0.299,10.993,278.602,570.087,0.880,0.000,284.958,0.589
0.299,10.476,279.273,608.784,0.880,0.000,285.582,0.584
0.299,9.840,280.846,587.776,0.879,0.000,286.514,0.581
0.299,10.443,282.277,619.394,0.880,0.000,287.737,0.574
0.299,9.999,284.147,606.759,0.880,0.000,289.231,0.577
0.299,10.325,283.994,675.665,0.882,0.000,289.434,0.580
0.301,9.987,284.340,605.118,0.881,0.000,289.297,0.574
0.317,11.023,282.840,639.372,0.882,0.000,288.830,0.590
0.317,9.708,284.151,679.455,0.881,0.000,289.067,0.591
0.317,10.566,283.193,631.020,0.885,0.000,288.601,0.605
0.317,11.056,281.300,599.533,0.892,0.000,287.655,0.597
0.317,11.017,281.217,607.230,0.891,0.000,287.374,0.586
0.317,12.069,280.810,703.752,0.887,0.000,287.236,0.565
0.317,10.432,282.509,688.792,0.882,0.000,288.048,0.556
0.320,10.544,282.464,645.250,0.879,0.000,288.478,0.554
0.333,11.180,283.456,702.885,0.879,0.000,289.109,0.565
0.333,11.593,282.867,732.336,0.877,0.000,289.214,0.552
0.333,10.637,284.315,732.474,0.877,0.000,289.687,0.558
0.333,9.874,284.276,619.092,0.882,0.000,289.591,0.589
0.333,11.635,283.383,695.299,0.882,0.000,289.212,0.574
0.333,10.028,284.739,750.720,0.878,0.000,289.974,0.560
0.333,10.728,286.242,757.687,0.878,0.000,291.003,0.568
0.343,9.572,285.335,641.014,0.881,0.000,290.495,0.598
0.359,10.067,285.917,625.178,0.883,0.000,290.430,0.604
0.359,10.171,286.137,639.783,0.884,0.000,290.805,0.603
0.359,10.078,286.106,689.186,0.885,0.000,291.037,0.606
0.359,11.978,286.084,768.592,0.886,0.000,291.610,0.596
0.359,10.197,287.600,739.788,0.880,0.000,292.447,0.571
0.359,10.278,288.015,778.728,0.883,0.000,292.818,0.597
0.359,11.617,286.178,872.669,0.881,0.000,291.627,0.578
0.367,10.425,286.795,793.348,0.878,0.000,291.949,0.567
0.377,11.720,286.547,790.559,0.881,0.000,291.853,0.577
0.377,10.678,287.180,793.023,0.877,0.000,292.410,0.565
0.377,11.262,287.791,759.549,0.879,0.000,292.865,0.592
0.377,11.103,287.742,751.568,0.879,0.000,292.861,0.588
0.377,12.689,287.315,880.870,0.877,0.000,293.259,0.566
0.377,11.530,289.052,958.599,0.872,0.000,293.980,0.548
0.377,11.875,288.958,930.223,0.870,0.000,293.999,0.546
0.391,11.499,288.406,984.287,0.866,0.000,293.979,0.529
0.445,10.403,290.667,796.394,0.864,0.000,294.836,0.550
0.445,10.990,290.675,742.279,0.870,0.000,294.949,0.583
0.445,9.967,289.417,722.720,0.871,0.000,294.469,0.584
0.445,10.896,289.302,774.503,0.872,0.000,294.063,0.585
0.445,11.109,289.626,799.324,0.872,0.000,294.139,0.584
0.445,11.542,289.132,922.858,0.875,0.000,294.342,0.585
0.445,11.147,289.187,839.788,0.872,0.000,294.579,0.565
0.469,10.853,290.120,824.069,0.870,0.000,294.958,0.569
0.518,11.116,290.592,878.630,0.867,0.000,295.303,0.567
0.518,11.729,289.626,983.482,0.863,0.000,294.949,0.558
0.518,11.136,290.728,947.474,0.861,0.000,295.460,0.553
0.518,11.346,291.191,882.416,0.868,0.000,295.650,0.585
0.518,11.866,291.526,1023.661,0.862,0.000,295.992,0.555
0.518,11.953,290.770,969.536,0.859,0.000,295.762,0.554
0.518,11.187,290.753,871.008,0.860,0.000,295.539,0.563
0.529,11.605,291.139,853.458,0.857,0.000,295.880,0.548
0.570,11.395,291.232,965.786,0.853,0.000,295.850,0.538
0.570,12.291,291.459,1110.450,0.849,0.000,296.002,0.531
0.570,12.781,289.846,1061.402,0.844,0.000,295.583,0.527
0.570,12.517,289.704,1098.061,0.837,0.000,295.517,0.500
0.570,12.261,290.389,1107.820,0.830,0.000,295.955,0.497
0.570,12.879,289.720,1137.150,0.822,0.000,295.851,0.479
0.570,10.940,291.050,993.792,0.818,0.000,295.886,0.492
0.585,11.287,291.625,1016.644,0.822,0.000,296.132,0.517
0.611,11.886,291.705,1066.232,0.821,0.000,296.450,0.524
0.611,11.009,291.457,1049.257,0.816,0.000,296.616,0.511
0.611,11.539,292.668,1164.311,0.815,0.000,297.319,0.525
0.611,10.984,292.581,1205.366,0.809,0.000,297.498,0.497
0.611,11.285,292.328,1226.504,0.804,0.000,297.161,0.494
0.611,11.148,292.419,1180.401,0.798,0.000,297.339,0.484
0.611,11.194,292.921,1118.127,0.792,0.000,297.641,0.473
0.620,11.059,292.521,996.589,0.791,0.000,297.322,0.485
0.648,11.201,291.715,1047.568,0.788,0.000,297.259,0.488
0.648,12.330,291.679,1171.931,0.783,0.000,297.237,0.478
0.648,12.481,292.052,1359.937,0.778,0.000,297.484,0.457
0.648,12.132,291.181,1376.491,0.768,0.000,297.639,0.433
0.648,12.230,292.854,1387.688,0.764,0.000,297.976,0.443
0.648,11.966,293.612,1571.120,0.756,0.000,298.724,0.426
0.648,11.496,293.332,1443.919,0.754,0.000,298.733,0.438
0.653,11.732,293.447,1453.238,0.750,0.000,298.650,0.434
0.662,11.737,294.189,1522.422,0.742,0.000,299.241,0.418
0.662,11.055,293.516,1453.475,0.738,0.000,299.016,0.426
0.662,11.611,293.331,1415.443,0.738,0.000,298.821,0.434
0.662,11.350,292.661,1474.579,0.729,0.000,298.483,0.416
0.662,11.147,292.767,1462.964,0.720,0.000,298.305,0.406
0.662,11.443,293.109,1502.943,0.714,0.000,298.526,0.411
